Protein stable ID	Gene name
	RF00096
	MIR548AD
	RNU6-484P
	RNU6-201P
	RNU6-657P
ENSP00000482855	AC011043.2
ENSP00000483412	VSTM1
ENSP00000479748	VSTM1
ENSP00000483778	VSTM1
ENSP00000479529	VSTM1
ENSP00000480734	VSTM1
	MIR6792
	RF00017
	RNU2-18P
	RN7SL615P
	RNU6-663P
	RNU6-478P
	MIR3935
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
ENSP00000354687	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
ENSP00000355046	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
ENSP00000354499	MT-CO1
	MT-TS1
	MT-TD
ENSP00000354876	MT-CO2
	MT-TK
	SNORA64
	MIR3609
	RNA5SP443
ENSP00000355265	MT-ATP8
	RF00273
	RNU6-729P
ENSP00000354632	MT-ATP6
	MIR3680-1
	RN7SL795P
	RF02271
ENSP00000354982	MT-CO3
	RN7SKP135
	MT-TG
ENSP00000355206	MT-ND3
	MT-TR
ENSP00000354728	MT-ND4L
	MIR7853
	RNA5SP187
	MIR145
ENSP00000354961	MT-ND4
	MIR6820
	RF02139
	MT-TH
ENSP00000482782	RDH13
	RNU2-66P
	MT-TS2
	MT-TL2
	MIR3913-1
	RF00599
ENSP00000354813	MT-ND5
	RF02138
	RN7SKP191
ENSP00000354665	MT-ND6
	RNA5SP341
	MIR6069
	MT-TE
	RF00019
ENSP00000354554	MT-CYB
	RNU1-140P
	RNU6-917P
	MT-TT
	RNU6-1334P
	MT-TP
	MIR6716
	RN7SKP1
	RNA5SP280
	RF00019
	RNU4-63P
	RF00019
	RF00026
	RF00019
	MIR518F
	RN7SL509P
	RF00264
	RF00017
	RF00019
	RF00012
	RN7SL62P
	RNU6-1296P
	RNU6-1322P
	MIR3529
	RNU6-1320P
	RF00012
	RNU6-885P
	RNU6-102P
	MIR4306
	SNORD19C
ENSP00000484693	AC023491.2
	RN7SL260P
	MIR6750
	RF00019
ENSP00000483002	AC012314.27
	RNU6-516P
	RF00019
	RNU7-14P
	RNU6-927P
	RNU6-1273P
	MIR1287
	SNORA70E
	RF00017
	MIR4427
	RNU6-588P
	RF01210
	RF00019
	SNORD36C
	MIR4252
	RNU6-1016P
	RF00181
	MIR5692A2
	SNORD114-27
	SNORD92
	RN7SL361P
	RF00017
	RF00019
	RF00156
	MIR4646
	RNY1P16
	RNU7-180P
	RNU1-119P
	SNORD115-44
	RF00019
	RNU6-951P
	RF00409
	RNA5SP22
ENSP00000487443	RPL7A
	RPL7A
	RPL7A
ENSP00000486063	RPL7A
	RPL7A
	RPL7A
ENSP00000486855	RPL7A
	RPL7A
	RPL7A
	RN7SKP109
	RF00019
	RF00002
	RNU6-912P
	MIR548BA
	RF00019
	RNU6-1316P
	RN7SL788P
	RNA5SP262
	RNU6-356P
	RN7SL546P
	SNORD115-39
	RNU6-77P
	MIR769
	RNU6-904P
	RF00492
ENSP00000484535	TJP1
ENSP00000481375	TJP1
ENSP00000482697	TJP1
ENSP00000486189	TJP1
	RNU6-239P
	RF00019
	MIR6796
	RNU6-1215P
	SNORD60
	RF00019
	RNA5SP122
ENSP00000447763	VARS2
ENSP00000447141	VARS2
	RF00019
	RNU6-693P
	RF01973
	MIR1270
	SNORD15A
	RNU6-796P
	MIR4659A
	RNA5SP192
	SNORD115-33
	MIR21
	RF00322
	RN7SL317P
	RNU6-861P
	RF00019
	RF00003
	RF00019
	MIR4642
	RNA5SP126
	RNU6-460P
	RNU1-29P
	RN7SL156P
	RNY3P9
	RF00019
	RF00560
	MIR607
	MIR3621
	RF00019
	MIR3199-1
	RNA5SP526
	MIR6848
	RNU1-93P
	RF00019
	RF00019
	RF00026
	MIR548AG2
	MIR6838
	RF00026
	RNU4-36P
	MIR1275
	RF00017
	MIR7150
	RNA5SP272
	MIR517A
	SNORD117
	RNU6-205P
ENSP00000478119	AC012314.15
	RN7SL687P
	MIR4637
	MIR6784
	MIR4540
	RF00019
	MIR4763
	RF00019
	SNORD114-11
	SNORD56B
	MIR182
	RF00019
	MIR592
	RF00004
	RNA5SP267
	RF02137
	RNY3P1
	MIR433
	RNU6-129P
	RF00019
	RF00019
	RF00017
	SNORA54
	RNU6-206P
	RF00019
	MIR4639
	MIR3160-1
	RF00012
	RF00019
	RNU6-826P
	RF00026
	RNU6-987P
	MIR4732
	MIR5699
	RNU6-944P
	RNU6-171P
	MIR365A
	MIR4255
	SNORD14D
	RNA5SP438
	RF00026
	RNU7-134P
	RNU6-1113P
	RN7SL384P
	RNU1-31P
	SNORA41B
	RF00019
	SNORD88A
	RF00424
	MIR5191
	RF00026
	RN7SL738P
	RNU6-14P
	SNORA81
	RF00554
	RNU6-523P
	MIR1827
	RNU2-69P
	RF00019
	RN7SL186P
	RNU6-416P
	MIR6751
	RF00019
	RF00411
	RNU6-544P
	RNA5SP95
ENSP00000478088	MBOAT7
ENSP00000482369	MBOAT7
ENSP00000482742	MBOAT7
ENSP00000481261	OSCAR
ENSP00000484323	OSCAR
ENSP00000480424	OSCAR
ENSP00000482359	OSCAR
ENSP00000479593	OSCAR
	RNU4-85P
	RF00004
	RN7SL563P
	RF00019
	RNU6-902P
	RNA5SP269
	RNA5-8SP7
	RN7SL125P
	SNORD18A
	RF00019
	RF00156
	SCARNA20
	SNORD114-16
	RF00568
	SNORD115-38
	RF00012
	RNU6-221P
	RN7SL760P
	RF00019
	RF00019
	RF00012
	RN7SKP250
	RNU6-653P
ENSP00000482253	NLRP2
ENSP00000478774	NLRP2
ENSP00000477726	NLRP2
ENSP00000478318	NLRP2
	RN7SL698P
	RNU6ATAC4P
	RN7SL581P
	SNORD113-1
	RNU6-435P
	RNA5SP453
	RN7SL600P
	SNORA63E
	RF00019
	SNORD32B
	RNA5SP452
	RF00561
	RF00019
	RF00402
	RF00537
	RNU1-92P
	RNA5SP405
	RN7SL73P
	RF00019
	RNU6-994P
	RF02271
	RNA5S14
	SNORD32B
	RF00019
	RNU4-35P
	RN7SKP193
	SNORD115-32
	RF00012
	AC018816.2
	SNORA28
	RNU6-244P
	SNORA1B
	RF02202
	SNORD115-18
	RNA5SP357
	RNA5SP422
	RN7SL584P
	MIR1206
ENSP00000481068	TSEN34
ENSP00000478451	TSEN34
ENSP00000483266	TSEN34
	MIR4436A
	RNY3P16
	MIR4684
	RF00019
ENSP00000481180	AL662852.3
	MIR34A
	MIR4507
	RN7SL334P
	SNORD88C
	MIR6078
	RNU6-685P
	RN7SL159P
	MIR770
	MIR4311
	RNU5F-6P
	RF00019
	RN7SL475P
	RF00019
	RN7SKP33
	RNU6-3P
	RNU6ATAC36P
	RNU6-127P
	RF00019
	RF02271
ENSP00000477787	AC012314.26
ENSP00000480726	AC012314.26
	RF00096
	RNU6-343P
ENSP00000485909	SURF6
	SURF6
	RNA5SP527
	MIR6125
	RNU1-107P
	RF00019
	MIR1302-4
	MIR8055
	RN7SL776P
	MIR3670-3
	RNU6-500P
	RF00108
	RN7SKP163
	RNU6-505P
	MIR139
	MIR3651
	RF00443
	RN7SL101P
	MIR155
	MIR6090
	RNU4ATAC9P
	RNU6-795P
	RF00019
	MIR6802
	RN7SL456P
	SNORA19
	ASH1L-IT1
ENSP00000471374	FAM71E1
ENSP00000472421	FAM71E1
ENSP00000469375	FAM71E1
ENSP00000471272	FAM71E1
ENSP00000472434	FAM71E1
	FAM71E1
	ACTG1P21
ENSP00000350332	MYBPC2
	MYBPC2
ENSP00000270645	RCN3
ENSP00000469727	RCN3
	RCN3
ENSP00000470540	RCN3
ENSP00000470771	RCN3
	AC069209.1
ENSP00000484879	KIR3DL3
ENSP00000251691	ARFGEF3
ENSP00000261893	LACTB
ENSP00000392956	LACTB
ENSP00000454085	LACTB
	LACTB
	AL357140.2
	PSAT1P2
ENSP00000449795	TRIAP1
	TRIAP1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	SLC26A4-AS1
	AC003982.1
ENSP00000265310	TRPV5
ENSP00000406361	TRPV5
ENSP00000406572	TRPV5
	AC026410.3
	COX6CP15
	AL133445.2
ENSP00000493236	OR2T10
ENSP00000329210	OR2T10
	LINC01848
ENSP00000492992	OR2M4
ENSP00000306688	OR2M4
ENSP00000222339	ZNF574
ENSP00000469029	ZNF574
ENSP00000471611	ZNF574
ENSP00000351939	ZNF574
	HLA-DQB3
	UBE2DNL
	UBE2DNL
	UBE2DNL
	UBE2DNL
	RABGGTB
ENSP00000317473	RABGGTB
	RABGGTB
	RABGGTB
ENSP00000359862	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
	RABGGTB
